場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260826,栗東,水,カセノコンコルド,,牡,3,中尾秀正,54.7,40.4,26.9,13.4,14.3,13.5,13.5,13.4,
美浦,20260829,美浦,土,ガヤーズアモーレ,,牝,2,田中勝春,53.3,38.8,24.8,12.0,14.5,14.0,12.8,12.0,
美浦,20260902,美浦,水,ガヤーズアモーレ,,牝,2,田中勝春,55.7,39.4,25.0,11.8,16.3,14.4,13.2,11.8,
栗東,20260828,栗東,金,ガルディエンヌ,,牝,3,高橋亮,56.4,40.0,25.2,12.7,16.4,14.8,12.5,12.7,
栗東,20260830,栗東,日,カルプスペルシュ,,牝,4,石坂公一,54.2,39.7,26.0,12.9,14.5,13.7,13.1,12.9,
栗東,20260826,栗東,水,キミガスキダ,,牝,3,牧田和弥,55.9,41.4,27.0,13.2,14.5,14.4,13.8,13.2,
栗東,20260827,栗東,木,クイックバイオ,,牝,5,畑端省吾,53.3,39.0,25.8,13.0,14.3,13.2,12.8,13.0,
栗東,20260902,栗東,水,クイックバイオ,,牝,5,畑端省吾,58.5,39.7,24.5,12.5,18.8,15.2,12.0,12.5,
栗東,20260827,栗東,木,クラスペディア,,牡,4,河嶋宏樹,58.8,42.2,26.4,12.4,16.6,15.8,14.0,12.4,
栗東,20260830,栗東,日,クラスペディア,,牡,4,河嶋宏樹,56.3,39.5,25.2,12.6,16.8,14.3,12.6,12.6,
栗東,20260902,栗東,水,クラスペディア,,牡,4,河嶋宏樹,53.6,38.2,25.2,12.7,15.4,13.0,12.5,12.7,
栗東,20260830,栗東,日,クリノオリーブ,,牝,5,谷潔,61.0,42.9,27.2,13.8,18.1,15.7,13.4,13.8,
栗東,20260902,栗東,水,クリノオリーブ,,牝,5,谷潔,54.1,38.4,25.1,12.9,15.7,13.3,12.2,12.9,
