阪8,芝,1800,12, エンジェルボイス,(栗),吉村圭司,佐々木大,8,,3,4,24,9,61,5,88,7,159,6,,キズナ
阪8,芝,1800,2, オーシンエス,(栗),宮徹,河原田菜,11,,1,13,14,12,42,10,66,11,76,14,,デクラレーションオブウォー
中11,ダ,1200,1, オーブルクール,(美),矢野英一,石橋脩,5,,6,2,42,5,17,14,86,8,77,13,,デクラレーションオブウォー
中9,芝,1600,5, オーロラアーク,(美),石栗龍彦,柴田大知,14,,2,5,12,12,29,10,24,14,35,14,,クリエイター2
阪2,芝,2000,4, オーロラトレイル,(栗),清水久詞,北村友一,6,,2,4,52,3,44,7,48,6,116,6,,コントレイル
阪12,ダ,1200,7, オプティモ,(栗),緒方努,松山弘平,9,,3,5,30,11,59,5,70,10,127,9,,タワーオブロンドン
中5,芝,1600,10, オラパ,(美),伊坂重信,菊沢一樹,9,,2,7,21,7,21,7,59,3,134,8,,ホットロッドチャーリー
中4,芝,2000,4, カーヴドヴァン,(美),大和田成,長浜鴻緒,17,,3,5,5,18,27,14,122,2,147,11,,ロードカナロア
中7,ダ,1800,16, カーボフリオ,(美),高木登,ミシェル,7,,1,14,12,13,36,13,75,13,178,10,,ナダル
中12,ダ,1800,15, カーマンライン,(美),小島茂之,江田照男,15,,2,6,13,12,16,14,71,13,94,15,,ネオユニヴァース
阪11,芝,2000,4, ガイアメンテ,(栗),須貝尚介,武豊,6,,3,5,50,1,46,10,137,1,186,4,,ドゥラメンテ
阪9,芝,1400,1, カウンティフェア,(栗),高野友和,田山旺佑,8,,1,12,38,5,17,12,58,10,81,12,,サートゥルナーリア
中7,ダ,1800,14, カシマライフウ,(美),伊藤伸一,大野拓弥,1,,2,5,53,3,64,3,107,5,250,3,,シュヴァルグラン
阪1,ダ,2970,6, ガストン,(栗),高橋康之,小坂忠士,2,,2,2,58,2,29,5,64,5,141,4,,シルバーステート
阪11,芝,2000,6, カネフラ,(栗),高橋康之,酒井学,16,,3,5,10,16,27,14,38,16,50,15,,グランデッツァ
中7,ダ,1800,10, カノープス,(美),辻哲英,石田拓郎,13,,1,14,12,13,39,11,73,14,153,11,,ルーラーシップ
阪12,ダ,1200,15, ガビーズブラザー,(栗),牧田和弥,吉田隼人,6,,3,5,27,12,56,6,98,5,119,10,,アポロケンタッキー
阪11,芝,2000,8, カラマティアノス,(美),奥村武,ルメール,9,,7,1,39,4,55,7,118,4,207,3,,レイデオロ
中10,芝,2000,11, キーパフォーマー,(栗),辻野泰之,小崎綾也,10,Ｔ,3,3,22,10,39,7,73,9,107,11,,キタサンブラック
阪5,芝,1600,3, キシゲヒーロー,(栗),中尾秀正,角田大和,8,,3,5,18,10,20,9,54,6,136,8,,アドマイヤマーズ
中9,芝,1600,13, キスアンドクライ,(栗),橋口慎介,三浦皇成,6,,2,5,59,2,54,4,43,12,114,7,,ワンアンドオンリー
阪6,ダ,1800,7,$キフクマル,(栗),池添学,松山弘平,1,,4,2,40,1,39,2,59,3,171,1,,"Jack Christopher"
中9,芝,1600,14, ギフテッド,(美),武井亮,今村聖奈,5,,2,5,41,6,32,9,67,6,95,10,,モーリス
阪7,ダ,1400,1, キャスケード,(栗),高橋亮,長岡禎仁,12,,2,5,40,5,39,9,93,10,154,10,,ミスターメロディ
阪9,芝,1400,13, キャッスルレイク,(栗),松下武士,田口貫太,7,,2,5,33,8,22,11,70,9,135,7,,サートゥルナーリア
阪9,芝,1400,10, キングケープ,(栗),大橋勇樹,西塚洸二,10,,2,5,24,11,57,4,82,3,139,6,,フィエールマン
中10,芝,2000,7, キントリヒ,(美),矢野英一,原優介,9,,1,11,33,9,19,11,108,4,177,4,,ゴールドシップ
中4,芝,2000,1, クールチェンジ,(美),和田正一,武藤雅,15,,4,1,15,13,18,18,91,11,83,17,,ドレフォン
中1,ダ,1800,7, グラスクラージュ,(美),牧光二,木幡巧也,5,,2,4,21,8,42,8,79,2,173,3,,シャンハイボビー
阪5,芝,1600,5, クラルテロワ,(栗),松永幹夫,北村友一,6,,2,9,29,7,23,8,47,9,129,9,,サリオス
阪11,芝,2000,13, グランヴィノス,(栗),友道康夫,川田将雅,8,,4,3,33,9,58,6,135,3,212,2,,キタサンブラック
中4,芝,2000,6, グランフルス,(美),矢野英一,小林美駒,10,,1,17,11,16,41,11,78,16,169,9,,イスラボニータ
阪1,ダ,2970,5, クリアクォーツ,(美),的場均,大江原圭,8,,1,8,20,8,18,8,50,7,127,7,,タワーオブロンドン
中6,ダ,1200,5, クリアマインド,(美),高柳瑞樹,原優介,11,,1,10,18,10,20,8,31,12,107,10,,ディーマジェスティ
阪5,芝,1600,6, クリスティーナ,(栗),飯田祐史,Ｍ．デム,10,,3,5,30,6,26,7,70,2,161,1,,ダンカーク
中5,芝,1600,5, グリマルキン,(美),柄崎将寿,丹内祐次,5,,2,7,29,4,32,4,48,7,154,4,,リオンディーズ
阪10,ダ,1800,1, クロニクル,(美),平岩大典,幸英明,13,,2,4,42,5,16,15,73,8,62,13,,ハーツクライ
阪2,芝,2000,1, ケイアイトリノ,(栗),平田修,藤懸貴志,4,,3,3,52,3,60,5,69,4,144,4,,モーリス
阪12,ダ,1200,12, ケイアイマウンガ,(栗),宮本博,藤懸貴志,12,,3,5,44,6,52,7,76,9,145,8,,マクフィ
中11,ダ,1200,10, ゲイルライダー,(栗),牧浦充徳,菊沢一樹,4,,2,8,50,3,62,2,47,15,77,13,,ドレフォン
中11,ダ,1200,12,$ゲッティヴィラ,(栗),小栗実,三浦皇成,15,,2,8,19,13,45,8,69,12,117,10,,Frosted
中6,ダ,1200,10, ゲンロクコイモヨウ,(美),田中勝春,江田照男,6,,3,5,29,4,26,5,63,3,154,3,,ヘニーヒューズ
阪12,ダ,1200,10, ゴールドアーチ,(栗),坂口智康,岩田望来,3,,5,2,60,1,73,1,114,3,179,5,,ミッキーアイル
阪3,ダ,1800,3, ゴールドシューター,(栗),加藤公太,鮫島克駿,3,,2,4,52,1,54,4,63,7,173,3,,ゴールドアクター
中7,ダ,1800,3, ゴールドプレイヤー,(美),古賀慎明,戸崎圭太,2,,2,5,59,2,69,1,88,9,237,5,,ゴールドアクター
中4,芝,2000,13, コスモアルペジオ,(美),鹿戸雄一,丹内祐次,9,,2,8,24,9,45,7,93,9,183,8,,ゴールドシップ
中2,芝,1600,7, コスモティタノ,(美),武市康男,嶋田純次,8,,2,5,23,7,47,7,83,4,104,8,,ヘンリーバローズ
中2,芝,1600,3, コスモデュアリズム,(美),伊藤伸一,遠藤汰月,12,,1,10,18,12,24,11,22,11,48,12,,アルアイン
中8,芝,2500,12, コスモナエマ,(美),手塚貴久,丹内祐次,7,,3,2,49,5,44,7,130,1,218,4,,ダノンバラード
阪4,芝,1800,6, コスモフィレンツェ,(栗),北出成人,幸英明,1,,5,1,63,1,61,2,124,1,277,1,,コントレイル
阪8,芝,1800,6, コレオシークエンス,(栗),佐藤悠太,浜中俊,3,,2,8,58,2,63,3,90,5,141,8,,サートゥルナーリア
阪6,ダ,1800,5, コロラート,(栗),飯田祐史,角田大和,8,,2,4,21,7,23,8,46,6,131,7,,モズアスコット
阪8,芝,1800,5, サイモンノーブル,(栗),梅田智之,柴田裕一,14,,2,8,14,12,42,10,66,11,137,9,,ハービンジャー
中1,ダ,1800,9, サクセスボーイ,(美),相沢郁,佐藤翔馬,3,,3,2,29,4,60,2,59,7,185,2,,アルアイン
阪8,芝,1800,7, サトノアグード,(栗),藤原英昭,坂井瑠星,2,,6,1,38,5,71,1,126,2,198,2,,ロードカナロア
中5,芝,1600,8, サトノハクマイ,(美),斎藤誠,斎藤新,1,,5,1,36,3,35,2,69,1,156,2,,シルバーステート
阪12,ダ,1200,6, サトノロザリー,(栗),斉藤崇史,川田将雅,8,,3,5,59,2,65,4,132,1,228,1,,ロードカナロア
中5,芝,1600,1, サムワンユーラヴド,(美),大和田成,小林美駒,8,,2,7,18,10,18,9,31,11,109,10,,ダノンキングリー
中3,ダ,1200,12, サワエ,(美),加藤和宏,土田真翔,16,,1,15,9,15,7,16,8,16,22,16,,サトノクラウン
