場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
美浦,20260923,2026.9.23,水,ドナミモザ,,牝,武市康男,83.9,68.3,53.9,38.8,24.7,11.7,15.6,14.4,15.1,14.1,13.0,11.7
美浦,20260921,2026.9.21,月,トパーズヘッド,,牡,佐藤吉勝,89.7,72.5,56.0,39.9,25.0,12.0,17.2,16.5,16.1,14.9,13.0,12.0
栗東,20260924,2026.9.24,木,トモジャシック,,牡,大根田裕,81.6,66.3,51.9,37.2,23.5,11.8,15.3,14.4,14.7,13.7,11.7,11.8
美浦,20260923,2026.9.23,水,トヨサカエ,,牡,高橋文雅,84.2,66.6,51.6,37.0,23.7,11.3,17.6,15.0,14.6,13.3,12.4,11.3
美浦,20260923,2026.9.23,水,ドリーミングアップ,,牡,高橋文雅,85.3,67.7,52.8,38.1,24.6,11.7,17.6,14.9,14.7,13.5,12.9,11.7
美浦,20260923,2026.9.23,水,ナイトパイロット,,牡,相沢郁,85.4,67.9,52.5,38.0,24.4,11.8,17.5,15.4,14.5,13.6,12.6,11.8
美浦,20260923,2026.9.23,水,ニーナラルゴ,,牝,上原博之,85.3,68.4,53.2,38.0,24.6,11.7,16.9,15.2,15.2,13.4,12.9,11.7
美浦,20260923,2026.9.23,水,ニシノカチオトコ,,牡,栗田徹,84.9,67.1,52.2,37.5,23.6,11.6,17.8,14.9,14.7,13.9,12.0,11.6
美浦,20260923,2026.9.23,水,ニシノリリックス,,牝,小野次郎,88.9,70.7,54.7,38.7,24.0,11.8,18.2,16.0,16.0,14.7,12.2,11.8
栗東,20260921,2026.9.21,月,ニホンピロカラット,,牡,大橋勇樹,84.7,69.0,53.6,37.7,23.1,11.3,15.7,15.4,15.9,14.6,11.8,11.3
美浦,20260923,2026.9.23,水,ヌーンベルク,Ｃ,牝,武井亮,85.9,68.3,53.0,38.2,24.3,11.7,17.6,15.3,14.8,13.9,12.6,11.7
美浦,20260923,2026.9.23,水,ノーブルクラウド,,牝,久保田貴,85.0,68.8,54.3,39.1,24.8,11.9,16.2,14.5,15.2,14.3,12.9,11.9
美浦,20260923,2026.9.23,水,ハードワーカー,,牝,竹内正洋,84.6,67.4,51.9,37.3,24.1,11.8,17.2,15.5,14.6,13.2,12.3,11.8
美浦,20260923,2026.9.23,水,ハクタカ,,牡,和田雄二,84.8,67.8,52.7,38.1,24.3,11.7,17.0,15.1,14.6,13.8,12.6,11.7
美浦,20260924,2026.9.24,木,ハナミヤビ,,牝,勢司和浩,83.4,67.4,52.6,38.2,24.3,11.8,16.0,14.8,14.4,13.9,12.5,11.8
美浦,20260920,2026.9.20,日,ピコアーガイル,,牡,伊藤大士,84.9,67.4,52.1,37.9,24.0,11.2,17.5,15.3,14.2,13.9,12.8,11.2
美浦,20260923,2026.9.23,水,ヒットミー,,牝,鹿戸雄一,86.2,69.2,53.5,38.4,24.3,11.6,17.0,15.7,15.1,14.1,12.7,11.6
栗東,20260923,2026.9.23,水,ヒノトリ,,牝,高橋康之,,,54.5,38.2,23.5,11.5,,,16.3,14.7,12.0,11.5
栗東,20260923,2026.9.23,水,ビヨンドザドリーム,,牡,小椋研介,,,54.5,37.8,23.3,11.5,,,16.7,14.5,11.8,11.5
栗東,20260923,2026.9.23,水,フィオッコローザ,,牝,西村真幸,86.1,69.7,53.7,37.6,23.8,12.0,16.4,16.0,16.1,13.8,11.8,12.0
美浦,20260923,2026.9.23,水,フェイマスジャズ,,牝,大和田成,86.3,68.4,53.2,38.6,24.5,11.8,17.9,15.2,14.6,14.1,12.7,11.8
栗東,20260923,2026.9.23,水,フォルトゥナロッサ,,牝,武幸四郎,,,54.4,38.0,23.5,11.6,,,16.4,14.5,11.9,11.6
栗東,20260923,2026.9.23,水,プチプランス,,牡,藤岡健一,82.1,66.7,51.7,36.5,22.9,11.5,15.4,15.0,15.2,13.6,11.4,11.5
栗東,20260923,2026.9.23,水,フライウィズユー,,牝,加藤公太,,,50.6,36.1,23.0,11.6,,,14.5,13.1,11.4,11.6
栗東,20260921,2026.9.21,月,ブラスバンド,,牡,前川恭子,80.0,65.7,51.6,37.1,23.8,12.0,14.3,14.1,14.5,13.3,11.8,12.0
美浦,20260923,2026.9.23,水,プラチナリーフ,,牡,林徹,83.5,66.4,52.3,38.0,24.3,12.0,17.1,14.1,14.3,13.7,12.3,12.0
栗東,20260923,2026.9.23,水,ブリオメンテ,,牡,千田輝彦,,,52.6,36.5,22.3,11.1,,,16.1,14.2,11.2,11.1
美浦,20260923,2026.9.23,水,ブルーサンタ,,牡,斎藤誠,81.9,65.7,51.1,37.2,24.1,11.8,16.2,14.6,13.9,13.1,12.3,11.8
美浦,20260923,2026.9.23,水,ヘイルメリーラン,,セ,松山将樹,85.9,69.3,53.9,38.6,24.7,12.0,16.6,15.4,15.3,13.9,12.7,12.0
栗東,20260923,2026.9.23,水,ベニールラヴニール,,牝,清水久詞,84.6,69.4,54.3,38.4,23.3,11.2,15.2,15.1,15.9,15.1,12.1,11.2
美浦,20260923,2026.9.23,水,ペプチドドリーム,,牡,松尾卓哉,83.3,66.1,52.0,37.7,24.2,11.8,17.2,14.1,14.3,13.5,12.4,11.8
美浦,20260923,2026.9.23,水,ベルウッドバイオ,,牡,高橋文雅,87.4,67.8,52.7,37.8,23.5,11.3,19.6,15.1,14.9,14.3,12.2,11.3
美浦,20260920,2026.9.20,日,ベルフィーヌ,,牝,堀内岳志,86.1,68.2,52.5,37.5,23.9,11.6,17.9,15.7,15.0,13.6,12.3,11.6
美浦,20260923,2026.9.23,水,ホウオウフロイト,,牡,加藤和宏,84.4,68.5,53.6,38.4,24.1,11.5,15.9,14.9,15.2,14.3,12.6,11.5
美浦,20260920,2026.9.20,日,ボスヒッツ,,セ,加藤征弘,84.3,66.9,52.6,37.5,24.0,11.8,17.4,14.3,15.1,13.5,12.2,11.8
美浦,20260920,2026.9.20,日,マイネルクオリア,,牡,武市康男,86.5,70.0,54.4,38.8,24.5,11.7,16.5,15.6,15.6,14.3,12.8,11.7
美浦,20260923,2026.9.23,水,マイネルクオリア,,牡,武市康男,82.1,67.2,53.2,38.0,24.1,11.4,14.9,14.0,15.2,13.9,12.7,11.4
美浦,20260923,2026.9.23,水,マイネルブリオン,,牡,矢野英一,85.5,66.0,51.0,37.2,23.7,11.8,19.5,15.0,13.8,13.5,11.9,11.8
