場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
美浦,20260816,2026.8.16,日,レーヌシェーヌ,,牝,畠山吉宏,,,124.6,89.6,57.0,26.4,,,35.0,32.6,30.6,26.4
美浦,20260819,2026.8.19,水,レーヌシェーヌ,,牝,畠山吉宏,82.2,66.5,51.9,37.7,24.2,11.7,15.7,14.6,14.2,13.5,12.5,11.7
栗東,20260816,2026.8.16,日,レジーナテンペスタ,,牝,前川恭子,85.4,69.8,54.6,39.2,24.3,11.7,15.6,15.2,15.4,14.9,12.6,11.7
栗東,20260819,2026.8.19,水,レジーナテンペスタ,,牝,前川恭子,81.4,65.8,51.5,36.9,23.1,11.6,15.6,14.3,14.6,13.8,11.5,11.6
美浦,20260816,2026.8.16,日,レッドシュヴェルト,,牡,尾関知人,,,56.9,41.2,27.1,12.9,,,15.7,14.1,14.2,12.9
美浦,20260819,2026.8.19,水,レッドシュヴェルト,,牡,尾関知人,83.1,66.7,52.1,37.6,23.7,11.1,16.4,14.6,14.5,13.9,12.6,11.1
栗東,20260819,2026.8.19,水,レッドホット,,セ,河嶋宏樹,83.0,66.9,52.1,37.4,23.5,11.5,16.1,14.8,14.7,13.9,12.0,11.5
栗東,20260819,2026.8.19,水,レディーミコノス,,牝,寺島良,83.9,67.5,53.0,37.6,23.6,11.9,16.4,14.5,15.4,14.0,11.7,11.9
美浦,20260816,2026.8.16,日,レディサン,,牝,栗田徹,,,55.5,40.6,26.5,12.7,,,14.9,14.1,13.8,12.7
美浦,20260819,2026.8.19,水,レディサン,,牝,栗田徹,84.1,68.1,52.9,37.7,24.1,12.1,16.0,15.2,15.2,13.6,12.0,12.1
美浦,20260819,2026.8.19,水,レディホークダイヤ,,牝,田中剛,86.9,68.4,53.3,39.1,24.7,11.7,18.5,15.1,14.2,14.4,13.0,11.7
栗東,20260816,2026.8.16,日,ロイスター,,牝,笹田和秀,86.6,70.8,54.4,38.5,23.7,11.0,15.8,16.4,15.9,14.8,12.7,11.0
栗東,20260821,2026.8.21,金,ロイスター,,牝,笹田和秀,,,68.9,48.9,30.2,14.3,,,20.0,18.7,15.9,14.3
栗東,20260818,2026.8.18,火,ロードオールライト,Ｃ,牡,中内田充,110.7,90.8,71.6,52.9,34.6,16.9,19.9,19.2,18.7,18.3,17.7,16.9
栗東,20260819,2026.8.19,水,ロードオールライト,Ｃ,牡,中内田充,83.0,67.0,51.9,36.8,22.7,11.2,16.0,15.1,15.1,14.1,11.5,11.2
栗東,20260821,2026.8.21,金,ロードオールライト,Ｃ,牡,中内田充,,,71.8,52.5,33.6,16.6,,,19.3,18.9,17.0,16.6
栗東,20260819,2026.8.19,水,ロザーンジュ,,牝,寺島良,81.9,65.7,51.6,38.1,24.6,12.6,16.2,14.1,13.5,13.5,12.0,12.6
美浦,20260816,2026.8.16,日,ワインダークシー,,牡,中舘英二,89.3,71.7,55.1,40.6,25.8,12.2,17.6,16.6,14.5,14.8,13.6,12.2
美浦,20260819,2026.8.19,水,ワインダークシー,,牡,中舘英二,83.2,66.6,51.4,37.1,23.7,11.6,16.6,15.2,14.3,13.4,12.1,11.6
