場所,年月日,日付S,曜日,馬名,Ｃ,性別,調教師,6F,5F,4F,3F,2F,1F,Lap6,Lap5,Lap4,Lap3,Lap2,Lap1
栗東,20260819,2026.8.19,水,ソルチェリア,,牡,大根田裕,83.0,68.2,53.4,38.2,23.7,11.9,14.8,14.8,15.2,14.5,11.8,11.9
栗東,20260816,2026.8.16,日,ダイシンレジウス,,牡,梅田智之,89.2,72.8,55.8,39.3,24.5,12.0,16.4,17.0,16.5,14.8,12.5,12.0
美浦,20260819,2026.8.19,水,ダイヤテソーロ,,牝,牧光二,83.8,67.4,52.7,38.4,24.9,12.3,16.4,14.7,14.3,13.5,12.6,12.3
栗東,20260816,2026.8.16,日,ダイヤモンドエルザ,,牝,笹田和秀,98.2,79.5,61.4,43.3,26.4,12.9,18.7,18.1,18.1,16.9,13.5,12.9
栗東,20260821,2026.8.21,金,ダイヤモンドエルザ,,牝,笹田和秀,,,67.1,48.2,30.8,15.3,,,18.9,17.4,15.5,15.3
栗東,20260819,2026.8.19,水,タガノアニマシオン,,セ,奥村豊,85.6,67.9,52.3,36.7,22.9,11.7,17.7,15.6,15.6,13.8,11.2,11.7
栗東,20260816,2026.8.16,日,タガノアラリア,,牡,西園翔太,91.9,75.3,58.2,42.3,27.6,13.5,16.6,17.1,15.9,14.7,14.1,13.5
栗東,20260819,2026.8.19,水,タガノエルピーダ,Ｃ,牝,斉藤崇史,84.3,68.6,53.5,38.1,23.4,11.5,15.7,15.1,15.4,14.7,11.9,11.5
美浦,20260819,2026.8.19,水,タッカーヴィーナス,,牝,鈴木伸尋,83.8,67.9,53.3,38.6,24.6,11.9,15.9,14.6,14.7,14.0,12.7,11.9
美浦,20260816,2026.8.16,日,タッケンエリカ,,牝,新開幸一,89.7,71.6,55.5,40.1,26.1,12.5,18.1,16.1,15.4,14.0,13.6,12.5
美浦,20260819,2026.8.19,水,タッケンエリカ,,牝,新開幸一,83.8,68.0,53.3,38.9,24.6,11.9,15.8,14.7,14.4,14.3,12.7,11.9
栗東,20260819,2026.8.19,水,ダノンステート,,牡,千田輝彦,86.7,70.8,55.3,39.2,24.6,12.4,15.9,15.5,16.1,14.6,12.2,12.4
美浦,20260816,2026.8.16,日,ツインピークス,,牝,千葉直人,90.5,69.8,52.6,37.3,23.4,11.1,20.7,17.2,15.3,13.9,12.3,11.1
栗東,20260819,2026.8.19,水,ディープサミット,,牡,四位洋文,88.6,70.4,54.0,38.5,23.7,11.5,18.2,16.4,15.5,14.8,12.2,11.5
栗東,20260819,2026.8.19,水,デイトナモード,,牡,千田輝彦,76.1,63.3,51.2,38.0,25.1,13.1,12.8,12.1,13.2,12.9,12.0,13.1
美浦,20260816,2026.8.16,日,テウメッサ,,牝,金成貴史,86.1,68.7,52.9,38.3,24.7,12.0,17.4,15.8,14.6,13.6,12.7,12.0
栗東,20260816,2026.8.16,日,テーオーダーウィン,,牡,岡田稲男,85.7,70.5,54.8,39.5,25.5,13.1,15.2,15.7,15.3,14.0,12.4,13.1
栗東,20260819,2026.8.19,水,テーオーダーウィン,,牡,岡田稲男,83.7,68.5,53.1,37.0,23.2,11.5,15.2,15.4,16.1,13.8,11.7,11.5
美浦,20260816,2026.8.16,日,テリフィックプラン,,セ,古賀大生,86.7,68.1,52.2,37.4,24.0,11.6,18.6,15.9,14.8,13.4,12.4,11.6
美浦,20260819,2026.8.19,水,テンソンコウリン,,牡,上原佑紀,84.7,68.0,52.7,37.9,24.2,11.5,16.7,15.3,14.8,13.7,12.7,11.5
栗東,20260819,2026.8.19,水,テンダーワーズ,,牝,中尾秀正,84.5,68.7,53.7,38.8,24.6,12.1,15.8,15.0,14.9,14.2,12.5,12.1
栗東,20260818,2026.8.18,火,ドゥラエテルノ,,牡,武幸四郎,99.0,82.7,65.7,48.2,31.0,15.4,16.3,17.0,17.5,17.2,15.6,15.4
美浦,20260816,2026.8.16,日,トーセンシントラ,,牡,中舘英二,108.2,87.9,68.9,50.3,32.2,15.8,20.3,19.0,18.6,18.1,16.4,15.8
美浦,20260819,2026.8.19,水,ドナディクオーレ,,牝,上原佑紀,85.1,68.3,52.9,38.0,24.1,11.5,16.8,15.4,14.9,13.9,12.6,11.5
美浦,20260819,2026.8.19,水,ドルビナ,,牡,杉浦宏昭,91.3,68.8,52.3,37.1,23.7,11.6,22.5,16.5,15.2,13.4,12.1,11.6
美浦,20260816,2026.8.16,日,トレフォイルノット,,牡,西田雄一,94.3,74.0,56.5,40.5,25.9,12.4,20.3,17.5,16.0,14.6,13.5,12.4
美浦,20260819,2026.8.19,水,トレフォイルノット,,牡,西田雄一,85.6,68.7,53.3,38.4,24.9,12.0,16.9,15.4,14.9,13.5,12.9,12.0
栗東,20260819,2026.8.19,水,ナイトシンフォニー,,牝,今野貞一,,,55.8,39.7,25.4,12.6,,,16.1,14.3,12.8,12.6
美浦,20260816,2026.8.16,日,ナムラダックス,,牡,石栗龍彦,86.5,68.4,51.9,37.3,23.8,11.6,18.1,16.5,14.6,13.5,12.2,11.6
美浦,20260819,2026.8.19,水,ナムラダックス,,牡,石栗龍彦,86.3,69.0,53.1,38.7,24.5,11.6,17.3,15.9,14.4,14.2,12.9,11.6
美浦,20260816,2026.8.16,日,ニシノツムジカゼ,,牡,西田雄一,96.2,75.7,58.8,41.5,26.2,12.3,20.5,16.9,17.3,15.3,13.9,12.3
美浦,20260819,2026.8.19,水,ニシノツムジカゼ,,牡,西田雄一,88.1,70.2,55.5,39.9,25.8,12.6,17.9,14.7,15.6,14.1,13.2,12.6
美浦,20260819,2026.8.19,水,ニットウライズ,,牡,高橋文雅,88.3,70.4,52.9,37.8,24.0,11.5,17.9,17.5,15.1,13.8,12.5,11.5
栗東,20260816,2026.8.16,日,ノボリクレバー,,牝,石橋守,84.9,67.5,52.2,37.7,24.1,11.6,17.4,15.3,14.5,13.6,12.5,11.6
栗東,20260819,2026.8.19,水,バーバラップ,,牡,小崎憲,84.7,67.8,52.0,36.8,23.1,11.7,16.9,15.8,15.2,13.7,11.4,11.7
美浦,20260819,2026.8.19,水,バトルモクオ,,牡,戸田博文,85.8,68.5,53.1,37.7,23.9,11.6,17.3,15.4,15.4,13.8,12.3,11.6
栗東,20260816,2026.8.16,日,ハナイロマヒナ,,牝,高橋亮,103.8,86.7,68.3,50.1,32.8,16.3,17.1,18.4,18.2,17.3,16.5,16.3
栗東,20260818,2026.8.18,火,ハナイロマヒナ,,牝,高橋亮,111.1,91.5,72.0,51.8,33.4,16.3,19.6,19.5,20.2,18.4,17.1,16.3
栗東,20260819,2026.8.19,水,ハナイロマヒナ,,牝,高橋亮,,,54.5,38.6,23.7,11.4,,,15.9,14.9,12.3,11.4
美浦,20260816,2026.8.16,日,ハニーアンバー,,牝,小野次郎,,,61.1,44.2,29.3,14.8,,,16.9,14.9,14.5,14.8
美浦,20260819,2026.8.19,水,ハニーアンバー,,牝,小野次郎,87.0,69.2,53.4,37.8,23.7,11.5,17.8,15.8,15.6,14.1,12.2,11.5
美浦,20260819,2026.8.19,水,ハニージョー,,牡,矢嶋大樹,87.1,68.7,53.0,38.5,24.8,11.8,18.4,15.7,14.5,13.7,13.0,11.8
栗東,20260816,2026.8.16,日,パラフローラ,,牝,今野貞一,,83.4,60.6,42.6,27.1,13.5,,22.8,18.0,15.5,13.6,13.5
栗東,20260819,2026.8.19,水,パラフローラ,,牝,今野貞一,,,56.5,40.5,25.3,11.9,,,16.0,15.2,13.4,11.9
美浦,20260819,2026.8.19,水,ハルノアメ,,牡,上原博之,83.0,65.7,51.1,37.3,24.0,12.0,17.3,14.6,13.8,13.3,12.0,12.0
美浦,20260819,2026.8.19,水,バンブトンプロ,,牡,粕谷昌央,,,51.5,36.8,23.8,11.6,,,14.7,13.0,12.2,11.6
美浦,20260819,2026.8.19,水,ビーアストニッシド,,牡,堀内岳志,82.1,66.9,52.0,37.6,23.8,11.4,15.2,14.9,14.4,13.8,12.4,11.4
栗東,20260816,2026.8.16,日,ピエマンソン,,牡,平田修,85.8,68.4,52.1,37.8,24.5,12.3,17.4,16.3,14.3,13.3,12.2,12.3
栗東,20260819,2026.8.19,水,ビルンバウム,,セ,渡辺薫彦,88.9,69.6,52.2,37.4,23.5,11.4,19.3,17.4,14.8,13.9,12.1,11.4
美浦,20260816,2026.8.16,日,フィクセルリリア,,牝,平岩大典,100.3,79.2,59.7,42.0,26.9,13.1,21.1,19.5,17.7,15.1,13.8,13.1
美浦,20260816,2026.8.16,日,フィレルレーヴ,,牝,竹内正洋,87.3,70.1,54.7,39.6,25.2,12.3,17.2,15.4,15.1,14.4,12.9,12.3
美浦,20260819,2026.8.19,水,フィレルレーヴ,,牝,竹内正洋,84.2,66.7,52.1,38.1,25.0,12.7,17.5,14.6,14.0,13.1,12.3,12.7
栗東,20260816,2026.8.16,日,フェブリノ,,牝,加藤公太,,99.9,72.7,53.1,34.7,17.2,,27.2,19.6,18.4,17.5,17.2
美浦,20260819,2026.8.19,水,フォンデネージュ,,牝,武井亮,87.1,68.0,52.2,37.4,23.8,11.8,19.1,15.8,14.8,13.6,12.0,11.8
美浦,20260819,2026.8.19,水,プリンセスダーコ,,牝,清水英克,85.5,68.8,53.7,38.8,24.4,11.7,16.7,15.1,14.9,14.4,12.7,11.7
美浦,20260816,2026.8.16,日,ブルーグラビティ,,牝,大和田成,90.7,70.2,54.6,39.8,25.5,11.9,20.5,15.6,14.8,14.3,13.6,11.9
美浦,20260819,2026.8.19,水,ブルーグラビティ,,牝,大和田成,86.5,68.3,53.5,38.4,24.2,11.5,18.2,14.8,15.1,14.2,12.7,11.5
美浦,20260816,2026.8.16,日,ブルームコード,Ｚ,牝,小島茂之,90.9,73.8,58.4,42.7,27.7,13.6,17.1,15.4,15.7,15.0,14.1,13.6
栗東,20260816,2026.8.16,日,ブルックリンダンス,,牡,田中克典,121.1,98.8,76.6,55.0,35.2,17.3,22.3,22.2,21.6,19.8,17.9,17.3
栗東,20260818,2026.8.18,火,ブルックリンダンス,,牡,田中克典,100.2,83.0,65.0,47.0,30.4,14.9,17.2,18.0,18.0,16.6,15.5,14.9
栗東,20260819,2026.8.19,水,ブルックリンダンス,,牡,田中克典,86.3,71.6,57.4,41.3,25.8,12.7,14.7,14.2,16.1,15.5,13.1,12.7
栗東,20260821,2026.8.21,金,ブルックリンダンス,,牡,田中克典,103.8,85.0,66.8,48.4,30.6,15.4,18.8,18.2,18.4,17.8,15.2,15.4
栗東,20260818,2026.8.18,火,プルメリアリノ,,牝,小栗実,,97.2,73.9,53.3,34.3,17.0,,23.3,20.6,19.0,17.3,17.0
美浦,20260819,2026.8.19,水,ブレスドナイル,,牝,金成貴史,85.7,68.3,53.3,38.5,24.2,11.6,17.4,15.0,14.8,14.3,12.6,11.6
美浦,20260819,2026.8.19,水,ベアヒロシデス,,牡,杉浦宏昭,89.9,67.8,51.3,37.2,24.2,11.6,22.1,16.5,14.1,13.0,12.6,11.6
栗東,20260819,2026.8.19,水,ペガサスジルシ,,牝,新谷功一,82.4,66.6,50.9,36.3,23.3,12.0,15.8,15.7,14.6,13.0,11.3,12.0
美浦,20260819,2026.8.19,水,ヘクトルテソーロ,Ｃ,牡,畠山吉宏,86.5,68.3,52.8,38.0,23.8,11.1,18.2,15.5,14.8,14.2,12.7,11.1
美浦,20260819,2026.8.19,水,ベルグラース,,牝,浅利英明,84.4,67.7,52.0,37.1,23.6,11.4,16.7,15.7,14.9,13.5,12.2,11.4
美浦,20260816,2026.8.16,日,ホウオウムサシ,,牡,蛯名正義,,,58.3,42.3,27.3,13.7,,,16.0,15.0,13.6,13.7
美浦,20260819,2026.8.19,水,ホウオウムサシ,,牡,蛯名正義,85.6,69.6,53.4,38.0,24.0,11.5,16.0,16.2,15.4,14.0,12.5,11.5
栗東,20260818,2026.8.18,火,ホールオブミラーズ,,牡,高野友和,112.5,93.3,74.0,54.3,35.1,17.4,19.2,19.3,19.7,19.2,17.7,17.4
栗東,20260819,2026.8.19,水,ボールドペイト,,牡,千田輝彦,88.3,71.2,55.1,39.0,24.3,12.1,17.1,16.1,16.1,14.7,12.2,12.1
栗東,20260816,2026.8.16,日,ホシヲミテルンナ,,牡,大根田裕,88.1,72.2,56.4,40.3,25.3,12.4,15.9,15.8,16.1,15.0,12.9,12.4
美浦,20260816,2026.8.16,日,ポッドレーヴ,,牡,平岩大典,94.0,75.1,57.8,41.8,28.2,14.3,18.9,17.3,16.0,13.6,13.9,14.3
栗東,20260816,2026.8.16,日,ポリキポリキ,,牝,藤原英昭,104.9,85.1,65.5,46.9,29.3,14.2,19.8,19.6,18.6,17.6,15.1,14.2
栗東,20260818,2026.8.18,火,ポリキポリキ,,牝,藤原英昭,,77.4,59.0,42.9,27.7,13.7,,18.4,16.1,15.2,14.0,13.7
栗東,20260819,2026.8.19,水,ポリキポリキ,,牝,藤原英昭,85.0,69.2,53.5,37.7,23.6,11.9,15.8,15.7,15.8,14.1,11.7,11.9
栗東,20260821,2026.8.21,金,ポリキポリキ,,牝,藤原英昭,,,72.0,51.8,33.4,16.7,,,20.2,18.4,16.7,16.7
栗東,20260819,2026.8.19,水,マーゴットマシェリ,,牝,小林真也,81.8,67.1,52.1,36.8,23.1,11.6,14.7,15.0,15.3,13.7,11.5,11.6
美浦,20260819,2026.8.19,水,マイセイバー,,牡,高橋文雅,86.3,68.6,53.6,38.3,24.1,11.4,17.7,15.0,15.3,14.2,12.7,11.4
美浦,20260816,2026.8.16,日,マイネルクロカータ,,牡,萱野浩二,,,61.7,44.5,28.2,13.8,,,17.2,16.3,14.4,13.8
美浦,20260819,2026.8.19,水,マイネルクロカータ,,牡,萱野浩二,84.4,68.1,53.0,38.3,24.5,12.1,16.3,15.1,14.7,13.8,12.4,12.1
美浦,20260816,2026.8.16,日,マイレーヌ,,牝,大和田成,91.2,71.7,55.1,40.5,25.8,12.7,19.5,16.6,14.6,14.7,13.1,12.7
栗東,20260818,2026.8.18,火,マカホウ,,牡,田中克典,102.0,85.2,68.3,50.5,33.1,16.2,16.8,16.9,17.8,17.4,16.9,16.2
栗東,20260821,2026.8.21,金,マカホウ,,牡,田中克典,105.0,86.2,68.3,50.4,32.8,16.2,18.8,17.9,17.9,17.6,16.6,16.2
栗東,20260816,2026.8.16,日,マシン,,牡,石坂公一,86.9,71.6,55.8,39.4,24.7,12.4,15.3,15.8,16.4,14.7,12.3,12.4
栗東,20260819,2026.8.19,水,マテンロウノア,,牡,坂口智康,,,54.4,38.3,24.0,11.6,,,16.1,14.3,12.4,11.6
栗東,20260821,2026.8.21,金,マルカルーカス,,牡,福永祐一,,,73.2,54.2,34.2,16.4,,,19.0,20.0,17.8,16.4
美浦,20260819,2026.8.19,水,マルチャン,,牡,武市康男,83.5,67.7,53.7,38.9,24.6,11.4,15.8,14.0,14.8,14.3,13.2,11.4
美浦,20260816,2026.8.16,日,ミスタートントン,,牡,勢司和浩,86.6,71.2,56.4,41.4,26.9,13.3,15.4,14.8,15.0,14.5,13.6,13.3
美浦,20260819,2026.8.19,水,ミスタートントン,,牡,勢司和浩,83.1,67.6,53.6,39.5,25.4,12.1,15.5,14.0,14.1,14.1,13.3,12.1
美浦,20260819,2026.8.19,水,ミツカネリゲル,,牡,小野次郎,89.5,70.7,54.3,38.8,24.3,11.3,18.8,16.4,15.5,14.5,13.0,11.3
美浦,20260819,2026.8.19,水,ミッキーソルジャー,,牡,菊沢隆徳,88.0,69.4,53.2,38.4,24.6,12.2,18.6,16.2,14.8,13.8,12.4,12.2
栗東,20260816,2026.8.16,日,メイショウクモイ,,牡,飯田祐史,97.8,78.4,59.4,42.5,27.1,13.0,19.4,19.0,16.9,15.4,14.1,13.0
栗東,20260818,2026.8.18,火,メイショウクモイ,,牡,飯田祐史,104.5,86.1,67.7,49.3,31.7,15.4,18.4,18.4,18.4,17.6,16.3,15.4
栗東,20260819,2026.8.19,水,メイショウクモイ,,牡,飯田祐史,86.8,68.6,52.7,37.5,23.6,11.9,18.2,15.9,15.2,13.9,11.7,11.9
栗東,20260821,2026.8.21,金,メイショウクモイ,,牡,飯田祐史,112.6,92.6,73.6,54.5,34.8,17.7,20.0,19.0,19.1,19.7,17.1,17.7
栗東,20260819,2026.8.19,水,メイショウソウテン,Ｃ,牡,鈴木孝志,80.6,65.6,51.6,37.6,24.1,12.3,15.0,14.0,14.0,13.5,11.8,12.3
栗東,20260816,2026.8.16,日,メイショウハネウマ,,牝,笹田和秀,87.3,71.5,55.7,40.3,25.9,13.0,15.8,15.8,15.4,14.4,12.9,13.0
栗東,20260821,2026.8.21,金,メイショウハネウマ,,牝,笹田和秀,,,62.6,45.0,28.0,13.3,,,17.6,17.0,14.7,13.3
栗東,20260816,2026.8.16,日,メイショウユウゲン,,牡,安達昭夫,,,75.1,53.6,34.6,16.8,,,21.5,19.0,17.8,16.8
栗東,20260818,2026.8.18,火,メイショウユウゲン,,牡,安達昭夫,,,72.0,50.4,32.0,15.7,,,21.6,18.4,16.3,15.7
栗東,20260821,2026.8.21,金,メイショウユウゲン,,牡,安達昭夫,107.4,87.9,70.2,52.0,34.2,17.3,19.5,17.7,18.2,17.8,16.9,17.3
美浦,20260819,2026.8.19,水,メリーサウンド,,牝,小笠倫弘,84.3,67.2,52.1,37.6,24.0,11.6,17.1,15.1,14.5,13.6,12.4,11.6
美浦,20260816,2026.8.16,日,モーリア,,牝,伊藤大士,87.1,68.6,53.2,39.9,26.0,12.4,18.5,15.4,13.3,13.9,13.6,12.4
美浦,20260819,2026.8.19,水,モリガン,,牝,柄崎将寿,85.4,68.6,53.4,38.7,24.5,11.7,16.8,15.2,14.7,14.2,12.8,11.7
美浦,20260816,2026.8.16,日,モンシュマン,,牡,辻哲英,96.2,75.4,56.7,41.4,26.7,12.4,20.8,18.7,15.3,14.7,14.3,12.4
美浦,20260819,2026.8.19,水,モンシュマン,,牡,辻哲英,84.7,68.0,53.0,38.4,24.8,12.0,16.7,15.0,14.6,13.6,12.8,12.0
栗東,20260821,2026.8.21,金,ヤマトクオーレ,,牡,安達昭夫,,,75.1,54.5,35.1,17.6,,,20.6,19.4,17.5,17.6
美浦,20260819,2026.8.19,水,ユイノリュウギ,Ｃ,牡,竹内正洋,86.1,69.1,54.0,38.7,24.3,12.1,17.0,15.1,15.3,14.4,12.2,12.1
栗東,20260818,2026.8.18,火,ラージギャラリー,,牝,高橋亮,110.3,89.8,69.0,50.1,31.9,15.8,20.5,20.8,18.9,18.2,16.1,15.8
美浦,20260816,2026.8.16,日,ライヴマティーニ,,牝,尾形和幸,85.2,68.5,54.0,39.5,25.0,12.1,16.7,14.5,14.5,14.5,12.9,12.1
栗東,20260818,2026.8.18,火,ライノ,,セ,高野友和,116.6,96.8,76.7,56.1,35.9,17.7,19.8,20.1,20.6,20.2,18.2,17.7
美浦,20260819,2026.8.19,水,ライラスター,,セ,田中剛,81.1,66.2,52.3,38.3,24.6,11.7,14.9,13.9,14.0,13.7,12.9,11.7
美浦,20260816,2026.8.16,日,ライングラウス,,牡,水野貴広,,,66.6,48.4,31.2,15.4,,,18.2,17.2,15.8,15.4
美浦,20260819,2026.8.19,水,ライングラウス,,牡,水野貴広,83.8,66.7,51.9,37.8,24.3,11.9,17.1,14.8,14.1,13.5,12.4,11.9
栗東,20260816,2026.8.16,日,ラヴエナストロ,,牝,石坂公一,,72.1,55.1,39.6,25.1,12.5,,17.0,15.5,14.5,12.6,12.5
栗東,20260818,2026.8.18,火,ラヴエナストロ,,牝,石坂公一,,85.1,67.1,49.9,33.6,17.0,,18.0,17.2,16.3,16.6,17.0
栗東,20260819,2026.8.19,水,ラヴエナストロ,,牝,石坂公一,,,57.3,43.3,28.1,14.1,,,14.0,15.2,14.0,14.1
美浦,20260819,2026.8.19,水,ラヴスコール,,牝,加藤征弘,90.4,70.4,53.9,39.1,25.6,12.7,20.0,16.5,14.8,13.5,12.9,12.7
美浦,20260816,2026.8.16,日,リッキースタイル,,牡,水野貴広,,,75.7,55.6,36.1,17.4,,,20.1,19.5,18.7,17.4
美浦,20260819,2026.8.19,水,リッキースタイル,,牡,水野貴広,88.2,70.6,54.3,38.7,24.2,11.2,17.6,16.3,15.6,14.5,13.0,11.2
栗東,20260819,2026.8.19,水,ルヴァンタドゥール,,牡,秋山真一,82.2,66.7,52.1,37.9,24.6,12.8,15.5,14.6,14.2,13.3,11.8,12.8
美浦,20260819,2026.8.19,水,ルージュミレネール,,牝,古賀慎明,81.8,65.4,50.1,36.5,23.5,11.4,16.4,15.3,13.6,13.0,12.1,11.4
栗東,20260819,2026.8.19,水,ルージュラボーテ,,牝,辻野泰之,,,55.1,39.4,24.7,12.3,,,15.7,14.7,12.4,12.3
栗東,20260818,2026.8.18,火,ルージュルガーノ,,牝,昆貢,103.3,86.3,69.1,51.0,33.4,16.8,17.0,17.2,18.1,17.6,16.6,16.8
栗東,20260819,2026.8.19,水,ルージュルガーノ,,牝,昆貢,82.8,67.0,51.9,36.9,22.9,11.4,15.8,15.1,15.0,14.0,11.5,11.4
栗東,20260816,2026.8.16,日,ルファーダ,,牡,大根田裕,,111.6,77.7,54.2,34.4,17.5,,33.9,23.5,19.8,16.9,17.5
栗東,20260818,2026.8.18,火,ルファーダ,,牡,大根田裕,,94.3,74.9,56.2,37.4,19.1,,19.4,18.7,18.8,18.3,19.1
栗東,20260819,2026.8.19,水,ルファーダ,,牡,大根田裕,82.4,67.5,52.9,38.2,24.5,12.4,14.9,14.6,14.7,13.7,12.1,12.4
