場所,年月日,所属,曜日,馬名,Ｃ,性別,年齢,調教師,Time1,Time2,Time3,Time4,Lap4,Lap3,Lap2,Lap1,馬番/仮番(出馬表モード時のみ)
栗東,20260819,栗東,水,オーロラトレイル,,牝,2,清水久詞,60.1,43.6,27.9,12.9,16.5,15.7,15.0,12.9,
栗東,20260815,栗東,土,オックスアイ,,牡,3,清水久詞,52.3,37.9,24.6,12.1,14.4,13.3,12.5,12.1,
栗東,20260819,栗東,水,オックスアイ,,牡,3,清水久詞,56.9,41.3,26.9,12.8,15.6,14.4,14.1,12.8,
栗東,20260813,栗東,木,オドラニャソンソン,,牡,4,森田直行,54.1,39.3,24.9,12.3,14.8,14.4,12.6,12.3,
栗東,20260816,栗東,日,オドラニャソンソン,,牡,4,森田直行,54.7,39.7,25.6,12.7,15.0,14.1,12.9,12.7,
栗東,20260819,栗東,水,オモイヲノセテ,,牝,3,高橋義忠,54.4,39.1,24.8,12.5,15.3,14.3,12.3,12.5,
美浦,20260812,美浦,水,オレイア,,牝,4,加藤和宏,56.9,41.3,26.3,12.6,15.6,15.0,13.7,12.6,
栗東,20260812,栗東,水,オンザマーチ,,牝,3,今野貞一,53.2,38.8,25.5,12.5,14.4,13.3,13.0,12.5,
栗東,20260816,栗東,日,カーリキュー,,牝,3,高橋一哉,57.2,41.5,26.8,13.4,15.7,14.7,13.4,13.4,
栗東,20260819,栗東,水,カーリキュー,,牝,3,高橋一哉,53.2,39.1,25.5,12.5,14.1,13.6,13.0,12.5,
栗東,20260819,栗東,水,ガネット,,牝,2,松永幹夫,56.6,40.7,25.7,12.3,15.9,15.0,13.4,12.3,
栗東,20260813,栗東,木,カフジキアッキエレ,,牝,6,森田直行,52.7,38.0,24.8,12.5,14.7,13.2,12.3,12.5,
栗東,20260816,栗東,日,カフジキアッキエレ,,牝,6,森田直行,53.7,38.4,25.4,13.3,15.3,13.0,12.1,13.3,
栗東,20260812,栗東,水,カポレイラ,,牝,4,北出成人,56.1,40.6,25.6,12.5,15.5,15.0,13.1,12.5,
